,clean
0,"premium unleaded (required),MANUAL,rear wheel drive,Factory Tuner,Luxury,High-Performance,Compact,Coupe,BMW 1 Series M"
1,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Performance,Compact,Convertible,BMW 1 Series"
2,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,High-Performance,Compact,Coupe,BMW 1 Series"
3,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Performance,Compact,Coupe,BMW 1 Series"
4,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Compact,Convertible,BMW 1 Series"
5,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Performance,Compact,Coupe,BMW 1 Series"
6,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Performance,Compact,Convertible,BMW 1 Series"
7,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,High-Performance,Compact,Coupe,BMW 1 Series"
8,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Compact,Convertible,BMW 1 Series"
9,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Compact,Convertible,BMW 1 Series"
10,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,High-Performance,Compact,Coupe,BMW 1 Series"
11,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Performance,Compact,Coupe,BMW 1 Series"
12,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Performance,Compact,Convertible,BMW 1 Series"
13,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Compact,Convertible,BMW 1 Series"
14,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Performance,Compact,Coupe,BMW 1 Series"
15,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,High-Performance,Compact,Convertible,BMW 1 Series"
16,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,High-Performance,Compact,Coupe,BMW 1 Series"
17,"regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,Audi 100"
18,"regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,Audi 100"
19,"regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,Audi 100"
20,"regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,Audi 100"
21,"regular unleaded,MANUAL,all wheel drive,Luxury,Midsize,Sedan,Audi 100"
22,"regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,Audi 100"
23,"regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,Audi 100"
24,"regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,Audi 100"
25,"regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,Audi 100"
26,"regular unleaded,MANUAL,all wheel drive,Luxury,Midsize,Sedan,Audi 100"
27,"regular unleaded,AUTOMATIC,front wheel drive,Luxury,Midsize,Wagon,Audi 100"
28,"regular unleaded,MANUAL,all wheel drive,Luxury,Midsize,Sedan,Audi 100"
29,"regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,Audi 100"
30,"regular unleaded,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,Audi 100"
31,"regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,Audi 100"
32,"premium unleaded (recommended),MANUAL,rear wheel drive,Performance,Compact,Convertible,FIAT 124 Spider"
33,"premium unleaded (recommended),MANUAL,rear wheel drive,Performance,Compact,Convertible,FIAT 124 Spider"
34,"premium unleaded (recommended),MANUAL,rear wheel drive,Performance,Compact,Convertible,FIAT 124 Spider"
35,"regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,Mercedes-Benz 190-Class"
36,"regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,Mercedes-Benz 190-Class"
37,"regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,Mercedes-Benz 190-Class"
38,"regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,Mercedes-Benz 190-Class"
39,"regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,Mercedes-Benz 190-Class"
40,"regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,Mercedes-Benz 190-Class"
41,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Compact,Coupe,BMW 2 Series"
42,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Compact,Convertible,BMW 2 Series"
43,"premium unleaded (required),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Compact,Convertible,BMW 2 Series"
44,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Performance,Compact,Coupe,BMW 2 Series"
45,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Compact,Convertible,BMW 2 Series"
46,"premium unleaded (required),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Compact,Coupe,BMW 2 Series"
47,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Performance,Compact,Coupe,BMW 2 Series"
