Group num: 0, TC(X;Y_j): 3.648
dsl, 0.042, 1.000, 0.042
n3jxp, 0.042, 1.000, 0.042
chastity, 0.042, 1.000, 0.042
cadre, 0.041, 1.000, 0.041
geb, 0.040, 1.000, 0.040
shameful, 0.040, 1.000, 0.040
intellect, 0.040, 1.000, 0.040
skepticism, 0.039, 1.000, 0.039
banks, 0.037, 1.000, 0.037
pitt, 0.037, 1.000, 0.037
gordon, 0.036, 1.000, 0.036
surrender, 0.036, 1.000, 0.036
soon, 0.031, 1.000, 0.031
ei, 0.011, 1.000, 0.011
d9, 0.010, 1.000, 0.010
1t, 0.010, 1.000, 0.010
6e, 0.010, 1.000, 0.010
m_, 0.010, 1.000, 0.010
mw, 0.010, 1.000, 0.010
mn, 0.009, 1.000, 0.009
m3, 0.009, 1.000, 0.009
m9, 0.009, 1.000, 0.009
m4, 0.009, 1.000, 0.009
wm, 0.009, 1.000, 0.009
lj, 0.009, 1.000, 0.009
m1, 0.009, 1.000, 0.009
wt, 0.009, 1.000, 0.009
3l, 0.009, 1.000, 0.009
1d, 0.009, 1.000, 0.009
b30, 0.009, 1.000, 0.009
gk, 0.009, 1.000, 0.009
ingr, 0.009, 1.000, 0.009
tq, 0.009, 1.000, 0.009
3t, 0.009, 1.000, 0.009
qq, 0.009, 1.000, 0.009
mq, 0.009, 1.000, 0.009
i4, 0.009, 1.000, 0.009
q6, 0.008, 1.000, 0.008
0t, 0.008, 1.000, 0.008
9d, 0.008, 1.000, 0.008
m7, 0.008, 1.000, 0.008
4t, 0.008, 1.000, 0.008
7u, 0.008, 1.000, 0.008
8n, 0.008, 1.000, 0.008
gq, 0.008, 1.000, 0.008
yd, 0.008, 1.000, 0.008
tg, 0.008, 1.000, 0.008
9v, 0.008, 1.000, 0.008
3c, 0.008, 1.000, 0.008
catbyte, 0.008, 1.000, 0.008
dtmedin, 0.008, 1.000, 0.008
34u, 0.008, 1.000, 0.008
4e, 0.008, 1.000, 0.008
m8, 0.008, 1.000, 0.008
gd3004, 0.008, 1.000, 0.008
0d, 0.008, 1.000, 0.008
9l, 0.008, 1.000, 0.008
medin, 0.008, 1.000, 0.008
f0, 0.008, 1.000, 0.008
kn, 0.008, 1.000, 0.008
5u, 0.008, 1.000, 0.008
0q, 0.008, 1.000, 0.008
6ei, 0.008, 1.000, 0.008
m0, 0.008, 1.000, 0.008
mv, 0.007, 1.000, 0.007
ml, 0.007, 1.000, 0.007
huntsville, 0.007, 1.000, 0.007
lg, 0.007, 1.000, 0.007
9f, 0.007, 1.000, 0.007
1f, 0.007, 1.000, 0.007
tz, 0.007, 1.000, 0.007
z5, 0.007, 1.000, 0.007
1d9, 0.007, 1.000, 0.007
3q, 0.007, 1.000, 0.007
uo, 0.007, 1.000, 0.007
w8, 0.007, 1.000, 0.007
9p, 0.007, 1.000, 0.007
bhj, 0.007, 1.000, 0.007
b8f, 0.007, 1.000, 0.007
uy, 0.007, 1.000, 0.007
g9v, 0.007, 1.000, 0.007
sk, 0.007, 1.000, 0.007
m2, 0.007, 1.000, 0.007
pl, 0.007, 1.000, 0.007
ax, 0.007, 1.000, 0.007
rl, 0.007, 1.000, 0.007
intergraph, 0.007, 1.000, 0.007
qt, 0.007, 1.000, 0.007
ssd, 0.007, 1.000, 0.007
mc, 0.007, 1.000, 0.007
bj, 0.007, 1.000, 0.007
g9, 0.007, 1.000, 0.007
v0, 0.007, 1.000, 0.007
q9, 0.007, 1.000, 0.007
oj, 0.007, 1.000, 0.007
_o, 0.007, 1.000, 0.007
2p, 0.007, 1.000, 0.007
d6, 0.007, 1.000, 0.007
fu, 0.007, 1.000, 0.007
a86, 0.007, 1.000, 0.007
m6, 0.007, 1.000, 0.007
yn, 0.007, 1.000, 0.007
2u, 0.007, 1.000, 0.007
uz, 0.007, 1.000, 0.007
mi, 0.007, 1.000, 0.007
tb, 0.006, 1.000, 0.006
e1, 0.006, 1.000, 0.006
m5, 0.006, 1.000, 0.006
om, 0.006, 1.000, 0.006
pk, 0.006, 1.000, 0.006
z0, 0.006, 1.000, 0.006
0h, 0.006, 1.000, 0.006
ql, 0.006, 1.000, 0.006
b8, 0.006, 1.000, 0.006
