Group num., NTC
33, -0.274
44, -0.288
48, -0.293
30, -0.305
49, -0.309
47, -0.313
12, -0.319
45, -0.327
46, -0.331
35, -0.383
34, -0.400
40, -0.400
43, -0.402
9, -0.412
32, -0.414
39, -0.415
28, -0.422
37, -0.427
26, -0.435
38, -0.445
4, -0.467
31, -0.477
27, -0.481
42, -0.496
20, -0.498
10, -0.500
36, -0.503
23, -0.525
3, -0.535
16, -0.539
41, -0.547
15, -0.550
25, -0.556
14, -0.563
24, -0.572
18, -0.590
29, -0.598
2, -0.620
21, -0.632
17, -0.655
22, -0.663
7, -0.692
6, -0.700
1, -0.757
11, -0.810
19, -0.816
5, -0.920
13, -1.009
8, -1.776
0, -4.995
